date,home_team,score,away_team
08-10-2023,West Ham,2 - 2,Newcastle
21-10-2023,Newcastle,4 - 0,Crystal Palace
28-10-2023,Wolves,2 - 2,Newcastle
04-11-2023,Newcastle,1 - 0,Arsenal
11-11-2023,Bournemouth,2 - 0,Newcastle
25-11-2023,Newcastle,? - ?,Chelsea
12-08-2023,Arsenal,2 - 1,Nott'm Forest
18-08-2023,Nott'm Forest,2 - 1,Sheffield United
26-08-2023,Man United,3 - 2,Nott'm Forest
02-09-2023,Chelsea,0 - 1,Nott'm Forest
18-09-2023,Nott'm Forest,1 - 1,Burnley
23-09-2023,Man City,2 - 0,Nott'm Forest
01-10-2023,Nott'm Forest,1 - 1,Brentford
07-10-2023,Crystal Palace,0 - 0,Nott'm Forest
21-10-2023,Nott'm Forest,2 - 2,Luton
29-10-2023,Liverpool,3 - 0,Nott'm Forest
05-11-2023,Nott'm Forest,2 - 0,Aston Villa
12-11-2023,West Ham,3 - 2,Nott'm Forest
25-11-2023,Nott'm Forest,? - ?,Brighton
12-08-2023,Sheffield United,0 - 1,Crystal Palace
18-08-2023,Nott'm Forest,2 - 1,Sheffield United
27-08-2023,Sheffield United,1 - 2,Man City
02-09-2023,Sheffield United,2 - 2,Everton
16-09-2023,Tottenham,2 - 1,Sheffield United
24-09-2023,Sheffield United,0 - 8,Newcastle
30-09-2023,West Ham,2 - 0,Sheffield United
07-10-2023,Fulham,3 - 1,Sheffield United
21-10-2023,Sheffield United,1 - 2,Man United
28-10-2023,Arsenal,5 - 0,Sheffield United
04-11-2023,Sheffield United,2 - 1,Wolves
12-11-2023,Brighton,1 - 1,Sheffield United
25-11-2023,Sheffield United,? - ?,Bournemouth
13-08-2023,Brentford,2 - 2,Tottenham
19-08-2023,Tottenham,2 - 0,Man United
26-08-2023,Bournemouth,0 - 2,Tottenham
02-09-2023,Burnley,2 - 5,Tottenham
16-09-2023,Tottenham,2 - 1,Sheffield United
24-09-2023,Arsenal,2 - 2,Tottenham
30-09-2023,Tottenham,2 - 1,Liverpool
07-10-2023,Luton,0 - 1,Tottenham
23-10-2023,Tottenham,2 - 0,Fulham
27-10-2023,Crystal Palace,1 - 2,Tottenham
06-11-2023,Tottenham,1 - 4,Chelsea
11-11-2023,Wolves,2 - 1,Tottenham
26-11-2023,Tottenham,? - ?,Aston Villa
12-08-2023,Bournemouth,1 - 1,West Ham
20-08-2023,West Ham,3 - 1,Chelsea
26-08-2023,Brighton,1 - 3,West Ham
01-09-2023,Luton,1 - 2,West Ham
16-09-2023,West Ham,1 - 3,Man City
24-09-2023,Liverpool,3 - 1,West Ham
30-09-2023,West Ham,2 - 0,Sheffield United
08-10-2023,West Ham,2 - 2,Newcastle
22-10-2023,Aston Villa,4 - 1,West Ham
29-10-2023,West Ham,0 - 1,Everton
04-11-2023,Brentford,3 - 2,West Ham
12-11-2023,West Ham,3 - 2,Nott'm Forest
25-11-2023,Burnley,? - ?,West Ham
14-08-2023,Man United,1 - 0,Wolves
19-08-2023,Wolves,1 - 4,Brighton
26-08-2023,Everton,0 - 1,Wolves
03-09-2023,Crystal Palace,3 - 2,Wolves
16-09-2023,Wolves,1 - 3,Liverpool
23-09-2023,Luton,1 - 1,Wolves
30-09-2023,Wolves,2 - 1,Man City
08-10-2023,Wolves,1 - 1,Aston Villa
21-10-2023,Bournemouth,1 - 2,Wolves
28-10-2023,Wolves,2 - 2,Newcastle
04-11-2023,Sheffield United,2 - 1,Wolves
11-11-2023,Wolves,2 - 1,Tottenham
